Date,Category,Description,Amount,Payment Method,Type
2024-03-21,Entertainment,Streaming,499,Card,Expense
2024-03-22,Health,Medicines,700,Cash,Expense
2024-03-23,Bills,Water,450,Net Banking,Expense
2024-03-24,Food,Lunch,290,UPI,Expense
2024-03-25,Transport,Metro,500,Card,Expense
2024-03-26,Shopping,Books,1200,Card,Expense
2024-03-27,Food,Groceries,1300,Cash,Expense
2024-03-28,Entertainment,Movie night,600,Card,Expense
2024-04-01,Salary,Monthly salary,55000,Net Banking,Income
2024-04-02,Food,Breakfast,250,Cash,Expense
2024-04-03,Transport,Uber,200,Card,Expense
2024-04-04,Bills,Electricity,1850,Net Banking,Expense
2024-04-05,Food,Groceries,1700,Cash,Expense
2024-04-06,Entertainment,Concert,2200,Card,Expense
2024-04-07,Health,Gym,500,Card,Expense
2024-04-08,Shopping,Shoes,2200,Card,Expense
2024-04-09,Food,Lunch,330,UPI,Expense
2024-04-10,Rent,Monthly rent,15000,Net Banking,Expense
2024-04-11,Transport,Petrol,1100,Card,Expense
2024-04-12,Bills,Internet,800,Net Banking,Expense
2024-04-13,Food,Coffee,150,Cash,Expense
2024-04-14,Entertainment,Movies,500,Card,Expense
2024-04-15,Health,Doctor,1800,Cash,Expense
2024-04-16,Food,Dinner,650,UPI,Expense
2024-04-17,Shopping,Gifts,2000,Card,Expense
2024-04-18,Education,Books,1000,Card,Expense
2024-04-19,Transport,Taxi,320,UPI,Expense
2024-04-20,Food,Restaurant,1100,Card,Expense
2024-04-21,Entertainment,Gaming,900,Card,Expense
2024-04-22,Health,Medicines,500,Cash,Expense
2024-04-23,Bills,Mobile,499,Card,Expense
2024-04-24,Food,Lunch,310,UPI,Expense
2024-04-25,Transport,Auto,250,Cash,Expense
2024-04-26,Shopping,Electronics,4500,Card,Expense
2024-04-27,Food,Groceries,1500,Cash,Expense
2024-04-28,Entertainment,Concert,2000,Card,Expense
2024-05-01,Salary,Monthly salary,55000,Net Banking,Income
2024-05-02,Food,Lunch,360,UPI,Expense
2024-05-03,Transport,Uber,180,Card,Expense
2024-05-04,Bills,Electricity,1750,Net Banking,Expense
2024-05-05,Food,Groceries,1400,Cash,Expense
2024-05-06,Entertainment,Movies,600,Card,Expense
2024-05-07,Health,Yoga,400,Card,Expense
2024-05-08,Shopping,Clothes,2500,Card,Expense
2024-05-09,Food,Lunch delivery,420,UPI,Expense
2024-05-10,Rent,Monthly rent,15000,Net Banking,Expense
2024-05-11,Transport,Petrol,950,Card,Expense
2024-05-12,Bills,Internet,800,Net Banking,Expense
2024-05-13,Food,Coffee,160,Cash,Expense
2024-05-14,Entertainment,Gaming,800,Card,Expense
2024-05-15,Health,Doctor,2200,Cash,Expense
2024-05-16,Food,Dinner,550,UPI,Expense
2024-05-17,Shopping,Gadgets,3000,Card,Expense
2024-05-18,Education,Online course,3500,Net Banking,Expense
2024-05-19,Transport,Taxi,380,UPI,Expense
2024-05-20,Food,Restaurant,900,Card,Expense
2024-05-21,Entertainment,Streaming,499,Card,Expense
2024-05-22,Health,Medicines,650,Cash,Expense
2024-05-23,Bills,Water,400,Net Banking,Expense
2024-05-24,Food,Lunch,320,UPI,Expense
2024-05-25,Transport,Metro,500,Card,Expense
2024-05-26,Shopping,Books,1400,Card,Expense
2024-05-27,Food,Groceries,1600,Cash,Expense
2024-05-28,Entertainment,Movie,700,Card,Expense
2024-06-01,Salary,Monthly salary,60000,Net Banking,Income
2024-06-02,Food,Breakfast,200,Cash,Expense
2024-06-03,Transport,Uber,220,Card,Expense
2024-06-04,Bills,Electricity,2100,Net Banking,Expense
2024-06-05,Food,Groceries,1500,Cash,Expense
2024-06-06,Entertainment,Movies,700,Card,Expense
2024-06-07,Health,Gym,600,Card,Expense
2024-06-08,Shopping,Shoes,2300,Card,Expense
2024-06-09,Food,Lunch,340,UPI,Expense
2024-06-10,Rent,Monthly rent,15000,Net Banking,Expense
2024-06-11,Transport,Petrol,1200,Card,Expense
2024-06-12,Bills,Internet,800,Net Banking,Expense
2024-06-13,Food,Coffee,140,Cash,Expense
2024-06-14,Entertainment,Gaming,1000,Card,Expense
2024-06-15,Health,Doctor,1600,Cash,Expense
2024-06-16,Food,Dinner,700,UPI,Expense
2024-06-17,Shopping,Gifts,2700,Card,Expense
2024-06-18,Education,Course materials,2000,Card,Expense
2024-06-19,Transport,Taxi,400,UPI,Expense
2024-06-20,Food,Restaurant,1200,Card,Expense
